shelter_id,name,type,division_id,latitude,longitude,max_capacity,current_occupancy,status,contact_person,contact_phone,updated_at
1,Ududumbara Maha Vidyalaya,SCHOOL,1,7.30,80.83,800,350,ACTIVE,Sunil Perera,0812000001,2026-04-10T10:00:00+00:00
2,Laggala Community Hall,COMMUNITY_CENTER,4,7.60,80.75,500,120,STANDBY,Sajith Kumar,0812000002,2026-04-10T10:10:00+00:00
3,Lunugala Temple Shelter,TEMPLE,6,7.00,81.05,300,90,ACTIVE,Nimal Silva,0812000003,2026-04-10T10:20:00+00:00
4,Kothmale East School,SCHOOL,7,7.10,81.05,600,410,FULL,Chamara Jay,0812000004,2026-04-10T10:30:00+00:00
5,Passara CC,COMMUNITY_CENTER,6,7.05,81.00,450,200,ACTIVE,Hasini Perera,0812000005,2026-04-10T10:40:00+00:00
6,Meegahakiula School,SCHOOL,6,6.9833,81.15,350,150,STANDBY,Kavindu Sen,0812000006,2026-04-10T10:50:00+00:00
7,Soranathota Hall,COMMUNITY_CENTER,7,7.15,81.00,400,220,ACTIVE,Shanaka Dias,0812000007,2026-04-10T11:00:00+00:00
8,Ududumbara Temple,TEMPLE,1,7.31,80.84,250,80,STANDBY,Shalini Jay,0812000008,2026-04-10T11:10:00+00:00
9,Laggala School,SCHOOL,4,7.58,80.76,550,300,ACTIVE,Tharindu Perera,0812000009,2026-04-10T11:20:00+00:00
10,Lunugala Community Center,COMMUNITY_CENTER,6,7.02,81.06,500,260,ACTIVE,Thilini Silva,0812000010,2026-04-10T11:30:00+00:00
11,Kothmale East Hall,COMMUNITY_CENTER,7,7.12,81.04,350,120,STANDBY,Sajeewa Nimal,0812000011,2026-04-10T11:40:00+00:00
12,Passara Temple,TEMPLE,6,7.04,81.01,200,60,STANDBY,Malini Perera,0812000012,2026-04-10T11:50:00+00:00
13,Meegahakiula CC,COMMUNITY_CENTER,6,6.98,81.16,420,210,ACTIVE,Indunil Jay,0812000013,2026-04-10T12:00:00+00:00
14,Soranathota School,SCHOOL,7,7.16,81.02,480,250,ACTIVE,Kanthi Silva,0812000014,2026-04-10T12:10:00+00:00
15,Ududumbara Hall,COMMUNITY_CENTER,1,7.32,80.84,300,140,STANDBY,Piumi Dias,0812000015,2026-04-10T12:20:00+00:00
16,Laggala Temple,TEMPLE,4,7.59,80.74,220,90,ACTIVE,Harsha Sen,0812000016,2026-04-10T12:30:00+00:00
17,Lunugala School West,SCHOOL,6,7.03,81.07,520,260,ACTIVE,Chathura Perera,0812000017,2026-04-10T12:40:00+00:00
18,Kothmale East Temple,TEMPLE,7,7.11,81.03,260,100,STANDBY,Subani Jay,0812000018,2026-04-10T12:50:00+00:00
19,Passara School East,SCHOOL,6,7.06,81.00,620,340,ACTIVE,Nuwan Silva,0812000019,2026-04-10T13:00:00+00:00
20,Meegahakiula Hall,COMMUNITY_CENTER,6,6.99,81.17,380,170,ACTIVE,Anura Perera,0812000020,2026-04-10T13:10:00+00:00
